Date,Open,High,Low,Close,Adj Close,Volume
2021-10-26,340.894440,342.666656,331.072235,332.216675,327.812683,26689845
2021-10-27,333.333344,341.688873,330.283325,341.688873,337.159302,24387433
2021-10-28,347.222229,352.777771,334.961121,337.333344,332.861511,31109162
2021-10-29,341.827789,358.605560,332.744446,355.122223,350.414581,36483663
2021-11-01,356.111115,377.222229,350.627777,361.111115,356.324097,39923386
2021-11-02,363.888885,369.866669,360.000000,365.555542,360.709595,23653420
2021-11-03,361.666656,364.455566,348.888885,355.555542,350.842163,22969134
2021-11-04,360.000000,363.888885,353.361115,359.361115,354.597290,16561816
2021-11-05,355.000000,360.988892,352.216675,352.272217,347.602356,15399153
2021-11-08,353.888885,369.433319,350.555542,367.111115,362.244537,22085217
2021-11-09,370.966675,371.111115,362.850006,368.488892,363.604065,12014249
2021-11-10,361.738892,364.705566,352.777771,360.000000,355.227692,22931686
2021-11-11,361.666656,369.516663,361.166656,364.361115,359.531006,13862543
2021-11-12,365.000000,367.700012,352.177765,356.111115,351.390381,20556270
2021-11-15,356.105560,356.105560,337.755554,344.444458,339.878357,25213678
2021-11-16,344.444458,347.288879,337.222229,341.649994,337.120941,15180323
2021-11-17,346.111115,350.238892,343.088898,347.711121,343.101715,13610957
2021-11-18,347.711121,353.700012,340.883331,347.777771,343.167480,13549093
2021-11-19,350.555542,355.000000,344.472229,355.000000,350.293976,15222222
2021-11-22,358.327789,378.333344,356.727783,378.333344,373.317993,27556183
2021-11-23,377.950012,377.950012,370.000000,373.333344,368.384277,17876113
2021-11-24,372.316681,375.444458,361.299988,366.000000,361.148163,15390637
2021-11-25,362.777771,365.833344,358.494446,363.333344,358.516846,10479650
2021-11-26,361.666656,371.555542,361.666656,365.555542,360.709595,10530399
2021-11-29,363.333344,380.277771,362.777771,377.666656,372.660156,20637469
2021-11-30,380.422211,380.922211,374.072235,377.777771,372.769806,12938635
2021-12-01,377.777771,380.549988,368.950012,373.333344,368.384277,12572227
2021-12-02,373.322235,382.888885,371.666656,382.222229,377.155365,16522120
2021-12-03,382.755554,384.444458,372.777771,381.666656,376.607117,14540695
